301645,ABP,small_airport,Atkamba Airport,-6.0655555555600005,141.095277778,150,OC,PG,PG-WPD,Atkamba Mission,no,,ABP,0,AKA,,http://en.wikipedia.org/wiki/Atkamba_Airport,
16091,KABQ,large_airport,Albuquerque International Sunport Airport,35.040199279785156,-106.60900115966797,5355,NA,US,US-NM,Albuquerque,yes,KABQ,ABQ,0,ABQ,,http://en.wikipedia.org/wiki/Albuquerque_International_Sunport,
3358,KABR,medium_airport,Aberdeen Regional Airport,45.449100494384766,-98.42179870605469,1302,NA,US,US-SD,Aberdeen,yes,KABR,ABR,0,ABR,,http://en.wikipedia.org/wiki/Aberdeen_Regional_Airport,
3181,HEBL,medium_airport,Abu Simbel Airport,22.375999450699997,31.611700058,616,AF,EG,EG-ASN,Abu Simbel,yes,HEBL,ABS,0,,,http://en.wikipedia.org/wiki/Abu_Simbel_Airport,
5084,OEBA,medium_airport,Al Baha Airport,20.2961006165,41.6343002319,5486,AS,SA,SA-11,,yes,OEBA,ABT,0,,,http://en.wikipedia.org/wiki/Al-Baha_Domestic_Airport,Al-Aqiq
41475,WRKA,small_airport,Haliwen Airport,-9.073049545289999,124.904998779,1027,AS,ID,ID-NT,Atambua-Timor Island,yes,WATA,ABU,0,,,http://en.wikipedia.org/wiki/Haliwen_Airport,WRKA
2104,DNAA,large_airport,Nnamdi Azikiwe International Airport,9.006790161132812,7.263169765472412,1123,AF,NG,NG-FC,Abuja,yes,DNAA,ABV,0,,http://www.faannigeria.org/nigeria-airport.php?airport=3,http://en.wikipedia.org/wiki/Nnamdi_Azikiwe_International_Airport,
27044,YMAY,medium_airport,Albury Airport,-36.06779861450195,146.95799255371094,539,OC,AU,AU-NSW,Albury,yes,YMAY,ABX,0,,,http://en.wikipedia.org/wiki/Albury_Airport,
3359,KABY,medium_airport,Southwest Georgia Regional Airport,31.535499572753906,-84.19450378417969,197,NA,US,US-GA,Albany,yes,KABY,ABY,0,ABY,,http://en.wikipedia.org/wiki/Southwest_Georgia_Regional_Airport,
2459,EGPD,large_airport,Aberdeen Dyce Airport,57.201900482177734,-2.197779893875122,215,EU,GB,GB-SCT,Aberdeen,yes,EGPD,ABZ,0,,http://www.aberdeenairport.com/,http://en.wikipedia.org/wiki/Aberdeen_Airport,
